asset_id,path,category,state,target_size,priority,replaceable
UI045,res://assets/ui/village/UI045_max_level_badge.png,UI,max_level,420x120,P0,YES
FX022,res://assets/fx/FX022_upgrade_coin_burst.png,FX,building_upgrade_coins,512x512,P0,YES
W101,res://assets/wheel/segments/W101_gold_small.png,Wheel,segment_icon,160x160,P0,YES
W102,res://assets/wheel/segments/W102_gold_medium.png,Wheel,segment_icon,160x160,P0,YES
W103,res://assets/wheel/segments/W103_gold_large.png,Wheel,segment_icon,160x160,P0,YES
W104,res://assets/wheel/segments/W104_shield.png,Wheel,segment_icon,160x160,P0,YES
W105,res://assets/wheel/segments/W105_attack_fallback.png,Wheel,segment_icon,160x160,P0,YES
W106,res://assets/wheel/segments/W106_defense_fallback.png,Wheel,segment_icon,160x160,P0,YES
W107,res://assets/wheel/segments/W107_bonus_spins.png,Wheel,segment_icon,160x160,P0,YES
W108,res://assets/wheel/segments/W108_special.png,Wheel,segment_icon,160x160,P0,YES
UI050,res://assets/ui/modals/UI050_level_up_panel.png,UI,level_up,900x420,P0,YES
UI051,res://assets/ui/modals/UI051_settings_panel.png,UI,settings,900x620,P0,YES
UI052,res://assets/ui/settings/UI052_toggle_off.png,UI,toggle_off,180x84,P0,YES
UI053,res://assets/ui/settings/UI053_toggle_on.png,UI,toggle_on,180x84,P0,YES
FX012,res://assets/fx/FX012_reward_pulse.png,FX,reward_pulse,256x256,P0,YES
FX032,res://assets/fx/FX032_boss_shield.png,FX,boss_shield,760x760,P0,YES
UI060,res://assets/ui/icons/UI060_nav_home.png,UI,nav_home,128x128,P0,YES
UI061,res://assets/ui/icons/UI061_nav_wheel.png,UI,nav_wheel,128x128,P0,YES
UI062,res://assets/ui/icons/UI062_nav_village.png,UI,nav_village,128x128,P0,YES
UI063,res://assets/ui/icons/UI063_settings.png,UI,settings_icon,128x128,P0,YES
UI064,res://assets/ui/overlays/UI064_transition_vignette.png,UI,transition_overlay,1080x1920,P0,YES
FX033,res://assets/fx/FX033_boss_chest_glow.png,FX,boss_chest_glow,420x340,P0,YES
SFX001,res://assets/audio/p0/sfx_tap.wav,Audio,sfx_tap,WAV,P0,YES
SFX002,res://assets/audio/p0/sfx_hit_heavy.wav,Audio,sfx_hit_heavy,WAV,P0,YES
SFX003,res://assets/audio/p0/sfx_kill.wav,Audio,sfx_kill,WAV,P0,YES
SFX004,res://assets/audio/p0/sfx_coin.wav,Audio,sfx_coin,WAV,P0,YES
SFX005,res://assets/audio/p0/sfx_wheel_spin.wav,Audio,sfx_wheel_spin,WAV,P0,YES
SFX006,res://assets/audio/p0/sfx_wheel_stop.wav,Audio,sfx_wheel_stop,WAV,P0,YES
SFX007,res://assets/audio/p0/sfx_upgrade.wav,Audio,sfx_upgrade,WAV,P0,YES
SFX008,res://assets/audio/p0/sfx_boss_intro.wav,Audio,sfx_boss_intro,WAV,P0,YES
SFX009,res://assets/audio/p0/sfx_boss_defeat.wav,Audio,sfx_boss_defeat,WAV,P0,YES
MUS001,res://assets/audio/p0/music_greenvale_loop_placeholder.wav,Audio,greenvale_loop,WAV,P0,YES
